,College_code,College_name,Rank
0,E048,"B M S College of Engineering Basavanagudi,Bangalore",2639
1,E016,Siddaganga Institute of Technology Tumkur,5486
2,E007,Dayananda Sagar College of Engineering Bangalore,5549
3,E008,Bangalore Institute of Technology Bangalore,5605
4,E126,"B M S Institute of Technology and Management Yelahanka, Bangalore",7200
5,E118,RNS Institute of Technology Bangalore,10715
6,E107,B N M Institute of Technology Bangalore,11129
7,E235,M.S. Ramaiah University of Applied Sciences Bangalore,13824
8,E071,Vidya Vardhaka College of Engineering Mysuru,14080
9,E099,New Horizon College of Engineering Bangalore,16717
10,E053,N M A M Institutute of Technology Nitte,17848
11,E232,Reva University Bangalore,20566
12,E079,Acharya Institute of Technology Bangalore,20979
13,E212,Dayananda Sagar Academy of Technology Kanakapur Main Road Bangalore,21969
14,E240,"Dayananda Sagar University Hosur Road, Bangalore",22385
15,E011,M V J College of Engineering Bangalore,25519
16,E103,Global Academy of Technology Bangalore,28729
17,E160,Sahyadri College of Engg. and Management Mangalore,30046
18,E091,K S Institute of Technology Bangalore,35182
19,E095,AMC Engineering College Bangalore,41693
20,E149,Cambridge Institutute of Technology Bangalore,41870
21,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur,45593
22,E114,G M Institute of Technology Davanagere,45884
23,E237,"Presidency University Yelahanka, Bangalore",49422
24,E111,"Sri Venkateshwara College of Engineering Bettahalsur(P), Bangalore",50516
25,E129,St. Joseph Engineering College Mangalore,51631
26,E102,DONBOSCO Institute of Technology Bangalore,61019
27,E151,"Mangalore Institute of Technology and Engineering Mangalore Tq,D.K",66130
28,E145,"Rajarajeswari College of Engineering Kumbalagodu,Bangalore",67896
29,E209,Jyothi Institute of Technology Bangalore,69962
30,E087,Vivekananada Institute of Technology Bangalor,82765
31,E106,East West Institute of Technology Bangalore,86805
32,E104,Nagarjuna College of Engineering and Technology Bangalore (R,88015
33,E169,Alva`s Institute of Engineering and Technology Moodabidri,92924
34,E255,Gitam School Of Technology BANGALORE RURAL DIST,99355
35,E109,City Engineering College Bangalore,103614
36,E139,Impact College of Engineering and Applied Sciences Bangalore,108897
37,E144,Srinivas Institute of Technology Mangalore.,136952
38,E127,M S Engineering College Bangalore Urban,141797
39,E193,"Srinivas University Mukka, Suratkal, Mangalore",144171
40,E185,Angadi Institute of Technology and Management Belgaum,146388
41,E204,"Bangalore Technological Institute Sarjapura Rd, Bangalore",147955
42,E112,Sri Krishna Institute of Technology Bangalore,151039
43,E153,S E A College of Engineering and Technology K R puram bangalore,152945
44,E121,Vivekananada College of Engineering Technology D K DIST,152997
