,College_code,College_name,Rank
0,E123,Canara Engineering College Bantwal DK DIST,43420
1,E126,"B M S Institute of Technology and Management Yelahanka, Bangalore",7148
2,E129,St. Joseph Engineering College Mangalore,32538
3,E133,G S S S Institute of Engineering and Technology for Women Mysore,29040
4,E141,P E S University (Electronic City Campus) Bangalore,8195
5,E145,"Rajarajeswari College of Engineering Kumbalagodu,Bangalore",52918
6,E149,Cambridge Institutute of Technology Bangalore,34125
7,E150,P E S Institute of Technology and Management Shivamogga,57614
8,E151,"Mangalore Institute of Technology and Engineering Mangalore Tq,D.K",59286
9,E166,"Sahyadri mangaluru ",33826
10,E169,Alva`s Institute of Engineering and Technology Moodabidri,57096
11,E173,Sai Vidya Institute of Technology Bangalore,33140
12,E178,N I E Institute of Technology Mysore,24913
13,E186,"ACS College of Engineering Kengeri Hobli,Bangalore",118609
14,E193,"Srinivas University Mukka, Suratkal, Mangalore",138131
15,E196,Jain College of Engineering Belgaum,65586
16,E205,"ATME College of Engineering Varun hobli,Mysore",59100
17,E206,Shri Madhwa Vadiraja Institute of Technology and Management Udupi Dist,61858
18,E212,Dayananda Sagar Academy of Technology Kanakapur Main Road Bangalore,18448
19,E232,Reva University Bangalore,26524
20,E235,M.S. Ramaiah University of Applied Sciences Bangalore,19275
21,E237," Presidency University Yelahanka, Bangalore",66204
22,E239,"East West College of Engineering Yelahanka New Town, Bangalore",70475
23,E240,"Dayananda Sagar University Hosur Road, Bangalore",28292
24,E241,KLE Technological University(Formerly BVBCET) Dharward Dist,9256
25,E257,"CMR University CHAGALATTI, BANGALORE",61670
26,E258,"Maharaja Institute of Technology THANDAVAPURA, MYSORE",74182
27,E275,"R V Institute of Technology and Management JP Nagar, Bengaluru",6653
28,E507,New Horizon College of Engineering Bangalore (IInd Shift),18082
29,E510,Dayananda Sagar College of Engineering Bangalore (IInd Shift),6000
30,E512,M V J College of Engineering Bangalore (IInd Shift),39423
31,E022,The National Institute of Engineering Mysore,9894
32,E021,JSS Science and Technology University(Formerly SJCE) Mysore,2683
33,E017,Sri Siddartha Institute of Technology Tumkur,43485
34,E016,Siddaganga Institute of Technology Tumkur,5581
35,E012,"Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore",6918
36,E011,M V J College of Engineering Bangalore,26892
37,E009,P E S University (Ring Road Campus) Bangalore,2136
38,E008,Bangalore Institute of Technology Bangalore,4906
39,E007,Dayananda Sagar College of Engineering Bangalore,4752
40,E006,M S Ramaiah Institute of Technology Bangalore,1419
41,E005 ,R. V. College of Engineering Bangalore,728
42,E002,S K S J T Institute of Engineering. Bangalore,19789
43,E001,University Visveswariah College of Engineering Bangalore,4922
