,College_code,College_name,Rank
2,E034,Sri Dharmasthala Manjunatheswara College of Engineering Dharwad,16901
3,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur,39979
4,E047,Malnad College of Engineering Hassan,16345
5,E048,"B M S College of Engineering Basavanagudi,Bangalore",1479
6,E049,Basaveshwara Engineering College Bagalkot,32882
7,E053,N M A M Institutute of Technology Nitte,20158
8,E056,The National Institute of Engineering Mysore,3935
9,E057,JSS Science and Technology University(Formerly SJCE) Mysore,3643
10,E058,P E S College of Engineering Mandya,20237
11,E061,University B.D.T. college of Engineering Davangere,23602
12,E062,Bapuji Institute of Engineering and Technology Davangere,33735
13,E064,Adhichunchanagiri Institute of Technology Chickmagalur,31769
14,E071,Vidya Vardhaka College of Engineering Mysuru,14623
15,E075,Ballari Institute of Technology and Management Near Allipur Bellar,36463
16,E077,Vidya Vikas Institute of Engineering and Technology Mysuru,40058
17,E079,Acharya Institute of Technology Bangalore,20221
18,E082,J S S Academy of Technical Education Bangalore,15619
19,E085,"APS College of Engineering Somanahalli, Bangalore",57572
20,E087,"Vivekananada Institute of Technology Bangalore",92083
21,E091,K S Institute of Technology Bangalore,30853
22,E092,Vemana Institute of Technology Bangalore,44797
23,E095,AMC Engineering College Bangalore,54639
24,E096,"East Point College of Engineering and Technology Bangalore",58544
25,E097,C M R Institute of Technology Bangalore,15762
26,E098,Atria Institute of Technology Bangalore,33965
27,E099,New Horizon College of Engineering Bangalore,12804
28,E101,"Channabasaveshwara Institute of Technology Gubbi, Tumku",50858
29,E102,DONBOSCO Institute of Technology Bangalore,40885
30,E103,Global Academy of Technology Bangalore,23917
31,E104,Nagarjuna College of Engineering and Technology Bangalore (R),51120
32,E105,Nitte Meenakshi Institutute of Technology Bangalore,11983
33,E106,East West Institute of Technology Bangalore,58394
34,E107,B N M Institute of Technology Bangalore,8994
35,E108,Saptagiri College of Engineering. Bangalore,22772
36,E111,"Sri Venkateshwara College of Engineering Bettahalsur(P), Bangalore",49826
37,E115,"S J B Institute of Technology Kengeri,Bangalore",17026
38,E118,RNS Institute of Technology Bangalore,82514
