,College_code,College_name,Rank
0,E005 ,R. V. College of Engineering Bangalore,728
1,E006,M S Ramaiah Institute of Technology Bangalore,1419
2,E048,"B M S College of Engineering Basavanagudi,Bangalore",1479
3,E009,P E S University (Ring Road Campus) Bangalore,2136
4,E021,JSS Science and Technology University(Formerly SJCE) Mysore,2683
5,E057,JSS Science and Technology University(Formerly SJCE) Mysore(shiftII),3643
6,E056,The National Institute of Engineering Mysore,3935
7,E007,Dayananda Sagar College of Engineering Bangalore,4752
8,E008,Bangalore Institute of Technology Bangalore,4906
9,E001,University Visveswariah College of Engineering Bangalore,4922
10,E016,Siddaganga Institute of Technology Tumkur,5581
11,E510,Dayananda Sagar College of Engineering Bangalore (IInd Shift),6000
12,E275,"R V Institute of Technology and Management JP Nagar, Bengaluru",6653
13,E012,"Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore",6918
14,E126,"B M S Institute of Technology and Management Yelahanka, Bangalore",7148
15,E141,P E S University (Electronic City Campus) Bangalore,8195
16,E107,B N M Institute of Technology Bangalore,8994
17,E241,KLE Technological University(Formerly BVBCET) Dharward Dist,9256
18,E022,The National Institute of Engineering Mysore(shiftII),9894
19,E105,Nitte Meenakshi Institutute of Technology Bangalore,11983
20,E099,New Horizon College of Engineering Bangalore,12804
21,E071,Vidya Vardhaka College of Engineering Mysuru,14623
22,E082,J S S Academy of Technical Education Bangalore,15619
23,E097,C M R Institute of Technology Bangalore,15762
24,E047,Malnad College of Engineering Hassan,16345
25,E034,Sri Dharmasthala Manjunatheswara College of Engineering Dharwad,16901
26,E115,"S J B Institute of Technology Kengeri,Bangalore",17026
27,E507,New Horizon College of Engineering Bangalore (IInd Shift),18082
28,E212,Dayananda Sagar Academy of Technology Kanakapur Main Road Bangalore,18448
29,E235,M.S. Ramaiah University of Applied Sciences Bangalore,19275
30,E002,S K S J T Institute of Engineering. Bangalore,19789
31,E053,N M A M Institutute of Technology Nitte,20158
32,E079,Acharya Institute of Technology Bangalore,20221
33,E058,P E S College of Engineering Mandya,20237
34,E108,Saptagiri College of Engineering. Bangalore,22772
35,E061,University B.D.T. college of Engineering Davangere,23602
36,E103,Global Academy of Technology Bangalore,23917
37,E178,N I E Institute of Technology Mysore,24913
38,E232,Reva University Bangalore,26524
39,E011,M V J College of Engineering Bangalore,26892
40,E240,"Dayananda Sagar University Hosur Road, Bangalore",28292
41,E133,G S S S Institute of Engineering and Technology for Women Mysore,29040
42,E091,K S Institute of Technology Bangalore,30853
43,E064,Adhichunchanagiri Institute of Technology Chickmagalur,31769
44,E129,St. Joseph Engineering College Mangalore,32538
45,E049,Basaveshwara Engineering College Bagalkot,32882
46,E173,Sai Vidya Institute of Technology Bangalore,33140
47,E062,Bapuji Institute of Engineering and Technology Davangere,33735
48,E166,Sahyadri mangaluru ,33826
49,E098,Atria Institute of Technology Bangalore,33965
50,E149,Cambridge Institutute of Technology Bangalore,34125
51,E075,Ballari Institute of Technology and Management Near Allipur Bellar,36463
52,E512,M V J College of Engineering Bangalore (IInd Shift),39423
53,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech. vijayapur,39979
54,E077,Vidya Vikas Institute of Engineering and Technology Mysuru,40058
55,E102,DONBOSCO Institute of Technology Bangalore,40885
56,E123,Canara Engineering College Bantwal DK DIST,43420
57,E017,Sri Siddartha Institute of Technology Tumkur,43485
58,E092,Vemana Institute of Technology Bangalore,44797
59,E111,"Sri Venkateshwara College of Engineering Bettahalsur(P), Bangalore",49826
60,E101,"Channabasaveshwara Institute of Technology Gubbi, Tumku",50858
61,E104,Nagarjuna College of Engineering and Technology Bangalore (R),51120
62,E145,"Rajarajeswari College of Engineering Kumbalagodu,Bangalore",52918
63,E095,AMC Engineering College Bangalore,54639
64,E169,Alva`s Institute of Engineering and Technology Moodabidri,57096
65,E085,"APS College of Engineering Somanahalli, Bangalore",57572
66,E150,P E S Institute of Technology and Management Shivamogga,57614
67,E106,East West Institute of Technology Bangalore,58394
68,E096,East Point College of Engineering and Technology Bangalore,58544
69,E205,"ATME College of Engineering Varun hobli,Mysore",59100
70,E151,"Mangalore Institute of Technology and Engineering Mangalore Tq,D.K",59286
71,E257,"CMR University CHAGALATTI, BANGALORE",61670
72,E206,Shri Madhwa Vadiraja Institute of Technology and Management Udupi Dist,61858
73,E196,Jain College of Engineering Belgaum,65586
74,E237," Presidency University Yelahanka, Bangalore",66204
75,E239,"East West College of Engineering Yelahanka New Town, Bangalore",70475
76,E258,"Maharaja Institute of Technology THANDAVAPURA, MYSORE",74182
77,E118,RNS Institute of Technology Bangalore,82514
78,E087,Vivekananada Institute of Technology Bangalore,92083
79,E186,"ACS College of Engineering Kengeri Hobli,Bangalore",118609
80,E193,"Srinivas University Mukka, Suratkal, Mangalore",138131
