,Numbers,Amounts(Rs)
0,325,10
1,324,10
2,789,10
3,785,10
4,554,30
5,120,50
6,786,30
7,108,10
8,801,15
9,920,30
10,229,5
11,923,30
12,012,15
13,864,15
14,265,15
15,101,20
16,120,20
17,526,20
18,625,20
19,651,20
20,165,30
21,726,20
22,195,20
23,832,20
24,254,20
25,652,50
26,190,20
27,901,20
28,115,20
29,116,20
30,985,20
31,859,20
32,203,20
33,032,20
34,950,20
35,903,30
36,591,10
37,736,10
38,428,30
39,947,20
40,377,20
41,964,30
42,123,30
43,321,15
44,326,10
45,257,10
46,862,30
47,880,5
48,260,5
49,865,25
50,83,10
51,831,10
52,526,10
53,810,10
54,618,10
55,728,20
56,368,20
57,408,20
58,546,30
59,396,40
60,867,10
61,908,10
62,935,10
63,123,20
64,784,10
65,537,10
66,713,10
67,718,10
68,430,15
69,750,15
70,266,15
71,992,15
72,001,15
73,002,15
74,131,30
75,770,20
76,077,20
77,707,20
78,916,30
79,417,30
80,657,30
81,687,30
82,494,30
83,864,20
84,646,20
85,010,20
86,863,20
87,182,20
88,181,20
89,742,20
90,872,20
91,888,20
92,818,10
93,18,20
94,022,20
95,227,20
96,217,20
97,027,20
98,017,20
99,221,20
100,000,20
101,138,10
102,720,10
103,620,10
104,550,10
105,824,10
106,323,10
107,920,10
108,728,5
109,331,20
110,133,20
111,313,10
112,521,30
113,215,30
114,457,30
115,694,30
116,047,30
117,505,20
118,281,20
119,506,10
120,282,10
121,300,20
122,110,5
123,334,5
124,246,10
125,810,10
126,676,30
127,380,10
128,960,10
129,630,10
130,480,10
131,090,10
132,669,10
133,696,10
134,858,20
135,597,10
136,180,10
137,701,20
138,810,10
139,756,10
140,054,20
141,051,20
142,213,20
143,945,30
144,106,30
145,582,30
146,639,5
147,539,5
148,530,10
149,339,10
150,320,5
151,520,10
152,109,10
153,119,5
154,335,5
155,334,5
156,550,5
157,310,5
158,121,5
159,355,5
160,553,10
161,500,5
162,120,5
163,210,5
164,230,5
165,209,5
166,104,5
167,109,10
168,390,5
169,360,5
170,350,10
171,100,10
172,399,5
173,349,5
174,901,5
175,019,5
176,039,5
177,019,5
178,800,20
179,809,5
180,808,5
181,500,10
182,300,10
183,220,5
184,212,5
185,030,10
186,080,5
187,101,20
188,146,20
189,239,20
190,927,5
191,972,5
192,708,20
193,077,20
194,070,20
195,770,20
196,503,20
197,530,10
198,253,20
199,170,100
200,000,50
201,000,50
202,123,10
203,140,100
204,916,10
205,619,10
206,169,10
207,962,10
208,629,10
209,269,10
210,945,10
211,459,10
212,594,10
213,330,100
214,300,20
215,770,20
216,276,25
217,300,500
218,693,10
219,396,10
220,936,10
221,190,100
222,766,5
223,736,5
224,697,5
225,954,5
226,347,5
227,235,5
228,155,5
229,954,5
230,382,5
231,286,5
232,597,5
233,978,5
234,678,5
235,020,5
236,024,5
237,846,5
238,243,5
239,635,5
240,446,5
241,466,5
242,143,5
243,434,5
244,663,5
245,336,5
246,903,5
247,693,5
248,123,5
249,678,5
250,345,5
251,586,5
252,693,5
253,976,5
254,112,5
255,221,5
256,888,5
257,333,5
258,337,5
259,113,5
260,313,50
261,315,5
262,786,5
263,808,5
264,665,5
265,717,20
266,177,20
267,771,20
268,128,30
269,748,30
270,629,30
271,240,30
272,127,30
273,116,20
274,161,20
275,670,10
276,521,10
277,526,10
278,850,10
279,851,10
280,525,10
281,520,10
282,880,10
283,885,10
284,382,10
285,685,10
286,385,10
287,224,20
288,108,20
289,888,10
290,688,10
291,678,10
292,967,10
293,345,10
294,526,16
295,550,20
296,050,20
297,505,20
298,639,30
299,711,20
300,064,30
301,810,10
302,701,30
303,060,100
304,206,20
305,520,20
306,311,20
307,190,20
308,700,20
309,300,20
310,400,20
311, 183,10
312,836,5
313,711,5
314,830,5
315,9305,10
316,930,5
317,939,5
318,243,20
319,706,5
320,701,5
321,768,5
322,957,30
323,970,30
324,742,20
325,724,20
326,247,20
327,299,20
328,117,20
329,276,35
330,276,25
331,753,20
332,765,20
333,321,5
334,731,5
335,721,5
336,712,5
337,720,5
338,449,5
339,460,10
340,562,30
341,368,20
342,966,30
343,180,5
344,157,5
345,502,5
346,624,30
347,564,5
348,380,5
349,703,5
350,375,5
351,519,5
352,726,5
353,743,5
354,337,5
355,663,20
356,787,10
357,180,20
358,361,30
359,366,10
360,633,10
361,336,10
362,4464,10
363,446,20
364,191,20
365,144,20
366,912,20
367,192,20
368,510,50
369,410,100
370,805,5
371,073,20
372,076,20
373,573,25
374,576,25
375,603,20
376,606,20
377,361,30
378,962,30
379,306,30
380,140,20
381,740,20
382,160,20
383,760,10
384,340,10
385,360,20
386, 440,20
387,430,20
388,460,20
389,700,5
390,273,5
391,214,5
392,155,5
393,820,20
